Unnamed: 0,French,English
0,partie,part
1,histoire,history
2,chercher,search
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
11,laisser,let
13,mettre,to put
14,aucun,no
15,laisse,leash
16,eux,them
20,arrivé,come
21,devrait,should
23,heures,hours
24,vont,will
26,revoir,meet again
27,aucune,any
28,place,square
33,voici,here is
34,pourrais,could
37,type,type
39,donné,given
40,train,train
42,écoute,listen
43,dont,whose
44,trouve,find
45,premier,first
46,main,hand
47,première,first
48,côté,side
50,vieux,old
51,sois,be
52,tiens,here
53,matin,morning
54,tellement,so much
55,enfant,child
57,venu,came
59,pardon,sorry
60,venez,come
62,minutes,minutes
64,chambre,bedroom
66,belle,beautiful
67,droit,law
68,aimerais,would like to
69,aujourd'hui,today
70,mari,husband
74,eau,water
75,attendez,Wait
78,arrêter,Stop
79,dirait,would say
80,terre,Earth
81,donne,given
82,loin,far
83,fin,end
84,croire,believe
85,chérie,sweetheart
87,plutôt,rather
88,aura,will have
90,jouer,to play
91,bureau,office
